30100	30180	1	430
30180	30220	-1	430
30220	30240	1	430
30240	30260	-1	430
30260	30400	1	430
30400	30440	-1	430
30440	30460	1	430
30460	30480	-1	430
30480	30500	1	430
30500	30520	-1	430
30520	30540	1	430
30540	30600	-1	430
30600	30620	1	430
30620	30640	-1	430
30666	31666	2	430
32000	32040	1	430
32040	32080	-1	430
32080	32100	1	430
32100	32140	-1	430
32140	32300	1	430
32300	32320	-1	430
32320	32420	1	430
32420	32500	-1	430
32500	32520	1	430
32520	32560	-1	430
32560	32620	1	430
32620	32640	-1	430
32666	33666	2	430
34000	34060	1	430
34060	34080	-1	430
34080	34100	1	430
34100	34160	-1	430
34160	34180	1	430
34180	34200	-1	430
34200	34220	1	430
34220	34280	-1	430
34280	34320	1	430
34320	34340	-1	430
34340	34400	1	430
34400	34420	-1	430
34420	34520	1	430
34520	34540	-1	430
34540	34560	1	430
34560	34580	-1	430
34580	34600	1	430
34600	34640	-1	430
34666	35666	2	430
36000	36040	1	430
36040	36060	-1	430
36060	36100	1	430
36100	36180	-1	430
36180	36200	1	430
36200	36240	-1	430
36240	36260	1	430
36260	36280	-1	430
36280	36320	1	430
36320	36340	-1	430
36340	36380	1	430
36380	36420	-1	430
36420	36460	1	430
36460	36500	-1	430
36500	36540	1	430
36540	36620	-1	430
36620	36640	1	430
36666	37666	2	430
38000	38100	1	430
38100	38140	-1	430
38140	38160	1	430
38160	38220	-1	430
38220	38240	1	430
38240	38260	-1	430
38260	38300	1	430
38300	38320	-1	430
38320	38380	1	430
38380	38400	-1	430
38400	38420	1	430
38420	38460	-1	430
38460	38580	1	430
38580	38600	-1	430
38600	38640	1	430
38666	39666	2	430
40000	40040	1	430
40040	40140	-1	430
40140	40160	1	430
40160	40200	-1	430
40200	40220	1	430
40220	40260	-1	430
40260	40280	1	430
40280	40360	-1	430
40360	40400	1	430
40400	40420	-1	430
40420	40480	1	430
40480	40500	-1	430
40500	40520	1	430
40520	40540	-1	430
40540	40580	1	430
40580	40620	-1	430
40620	40640	1	430
40666	41666	2	430
42000	42060	1	430
42060	42180	-1	430
42180	42260	1	430
42260	42300	-1	430
42300	42340	1	430
42340	42360	-1	430
42360	42420	1	430
42420	42480	-1	430
42480	42520	1	430
42520	42600	-1	430
42600	42640	1	430
42666	43666	2	430
44000	44040	1	430
44040	44060	-1	430
44060	44080	1	430
44080	44160	-1	430
44160	44180	1	430
44180	44220	-1	430
44220	44240	1	430
44240	44300	-1	430
44300	44340	1	430
44340	44360	-1	430
44360	44380	1	430
44380	44400	-1	430
44400	44420	1	430
44420	44460	-1	430
44460	44480	1	430
44480	44500	-1	430
44500	44560	1	430
44560	44580	-1	430
44580	44620	1	430
44620	44640	-1	430
44666	45666	2	430
46000	46080	1	430
46080	46140	-1	430
46140	46200	1	430
46200	46240	-1	430
46240	46280	1	430
46280	46360	-1	430
46360	46380	1	430
46380	46420	-1	430
46420	46460	1	430
46460	46480	-1	430
46480	46540	1	430
46540	46560	-1	430
46560	46600	1	430
46600	46640	-1	430
46666	47666	2	430
48000	48040	1	430
48040	48080	-1	430
48080	48120	1	430
48120	48140	-1	430
48140	48180	1	430
48180	48220	-1	430
48220	48240	1	430
48240	48280	-1	430
48280	48340	1	430
48340	48380	-1	430
48380	48520	1	430
48520	48580	-1	430
48580	48600	1	430
48600	48620	-1	430
48620	48640	1	430
48666	49666	2	430
50000	50060	1	430
