Date/time	 9  Mode Anode PS V	10  Mode Anode PS I	11  Oil Temperature	12  Water In Temperature	13  Collector Temperature	15  Body Temperature	21  Magnet Current	25  Vac Ion	31  Filament V	32  Filament I	41  Klystron Average P	42  Reflected Power	52  High Voltage Kv	53  High Voltage Amp	55  Beam Amps	57  HV Phase A I	58  HV Phase B I	59  HV Phase C I	
09:52:47-19.09.00	0,16	0,54	29,32	17,49	17,23	17,48	21,81	0,04	17,25	0,03	5,55	9,34	0,23	0,03	0,00	0,09	0,11	0,14	
10:02:47-19.09.00	0,14	0,34	29,22	17,94	17,72	17,79	21,82	0,04	17,29	0,02	4,58	4,67	0,26	0,02	0,00	0,09	0,09	0,16	
10:12:47-19.09.00	0,16	0,36	29,17	18,33	18,25	18,19	21,80	0,03	17,26	0,06	5,37	10,38	0,20	0,02	0,00	0,09	0,14	0,09	
12:09:57-19.09.00	0,94	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,01	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
12:19:57-19.09.00	0,15	0,81	28,55	17,94	17,64	17,70	22,04	0,03	17,23	0,09	5,07	9,34	0,11	0,02	8,90	0,11	0,09	0,11	
12:29:57-19.09.00	0,14	0,44	28,78	18,42	18,25	18,17	22,02	0,03	17,27	0,12	4,33	5,19	0,14	0,02	8,90	0,14	0,09	0,09	
12:39:57-19.09.00	14,51	0,20	28,59	17,45	17,15	17,35	21,91	0,02	17,28	0,02	5,25	2,08	0,24	0,03	8,90	0,09	0,09	0,09	
12:49:57-19.09.00	1,24	0,41	28,77	17,99	17,75	17,79	21,94	0,03	17,21	0,08	4,70	5,19	0,15	0,02	8,90	0,09	0,11	0,09	
12:59:57-19.09.00	0,13	0,37	28,99	18,47	18,29	18,25	21,87	0,03	17,22	0,02	5,19	11,41	0,17	0,02	8,90	0,09	0,11	0,11	
13:09:57-19.09.00	0,15	0,86	28,89	17,56	17,26	17,40	21,87	0,02	17,28	0,02	4,88	9,86	0,20	0,02	8,90	0,14	0,09	0,14	
13:19:57-19.09.00	0,13	0,85	29,02	18,10	17,85	17,84	21,86	0,03	17,24	0,02	5,62	4,67	0,18	0,02	8,90	0,16	0,09	0,16	
13:29:57-19.09.00	0,13	0,73	29,08	18,24	18,14	18,13	21,80	0,04	17,17	0,03	5,07	9,60	0,21	0,02	8,90	0,09	0,09	0,18	
13:39:57-19.09.00	0,12	0,64	29,13	17,29	17,00	17,19	21,72	0,03	17,31	0,03	4,64	11,15	0,14	0,02	8,90	0,18	0,09	0,09	
13:49:57-19.09.00	0,12	0,49	29,17	17,90	17,64	17,69	21,75	0,03	17,34	0,02	4,94	7,52	0,14	0,02	8,90	0,09	0,09	0,09	
13:59:57-19.09.00	22,00	0,59	29,10	18,19	18,07	18,10	21,77	0,03	17,29	0,05	4,76	9,08	20,35	0,04	8,90	17,83	16,41	15,17	
14:09:58-19.09.00	22,00	0,29	29,22	18,32	18,18	18,17	21,81	0,03	17,30	0,07	4,33	8,56	20,30	0,03	8,90	17,76	16,48	15,31	
14:19:58-19.09.00	22,00	0,41	29,36	17,37	17,03	17,27	21,76	0,02	17,29	0,05	4,82	7,00	20,34	0,02	8,90	17,49	16,48	15,31	
14:29:58-19.09.00	0,13	0,70	29,33	17,50	17,19	17,33	21,80	0,04	17,32	0,02	4,64	8,82	35,14	0,03	8,90	21,70	20,48	18,81	
14:39:58-19.09.00	0,14	0,07	29,38	17,58	17,33	17,49	21,84	0,03	17,32	0,02	5,25	7,52	35,03	0,03	8,90	21,84	20,48	18,36	
14:49:58-19.09.00	29,75	0,39	29,39	17,74	17,37	17,54	21,83	0,04	17,34	0,05	5,07	9,08	43,57	0,03	8,90	24,12	22,71	21,06	
14:59:58-19.09.00	30,94	1,53	29,31	18,43	18,53	18,27	21,80	0,03	17,35	0,02	4,82	8,82	33,68	0,28	8,90	21,93	20,87	19,13	
15:09:58-19.09.00	30,03	1,39	29,38	17,58	17,55	17,64	21,77	0,03	17,35	0,02	5,31	7,26	33,61	0,28	8,90	21,97	20,90	19,09	
15:19:58-19.09.00	32,41	0,97	29,53	17,37	17,05	17,23	21,77	0,03	17,33	0,06	5,25	7,52	28,56	0,07	8,90	20,58	19,57	18,08	
15:29:58-19.09.00	32,41	3,95	29,55	17,80	18,29	17,67	21,85	0,04	17,32	0,07	6,04	15,56	50,09	0,48	8,90	26,41	24,95	23,80	
15:39:58-19.09.00	29,85	4,98	29,51	18,31	19,12	18,22	21,80	0,04	17,31	0,04	5,43	9,60	55,39	0,64	8,90	30,01	28,84	26,87	
15:49:58-19.09.00	30,94	4,78	29,55	18,66	19,55	18,56	21,81	0,04	17,33	0,09	4,33	6,74	55,47	0,64	8,90	29,96	29,02	26,82	
15:59:58-19.09.00	31,13	9,60	29,56	18,35	21,10	18,42	21,78	0,05	17,35	0,07	5,25	9,34	75,86	1,33	8,90	53,03	49,58	45,80	
16:09:58-19.09.00	30,58	0,95	29,65	17,48	17,26	17,46	21,78	0,03	17,13	0,03	5,74	6,23	30,56	0,07	8,90	22,16	21,24	18,81	
16:19:58-19.09.00	28,29	7,27	29,68	18,63	20,21	18,60	21,76	0,04	17,11	0,06	5,92	4,41	58,36	0,73	8,90	32,80	31,31	27,47	
16:29:58-19.09.00	31,49	13,94	29,56	19,32	22,82	19,38	21,77	0,06	17,10	0,04	5,19	9,34	80,97	1,54	8,90	60,29	56,81	50,74	
16:39:58-19.09.00	31,68	12,00	29,69	19,09	22,55	18,98	21,73	0,05	17,08	0,08	5,07	11,93	81,79	1,57	8,90	56,72	53,31	51,27	
16:49:58-19.09.00	24,44	0,07	29,91	19,10	19,43	19,65	21,71	0,06	17,11	0,04	5,62	7,78	0,22	0,02	8,90	0,09	0,09	0,30	
16:59:59-19.09.00	30,58	0,29	29,89	17,12	16,84	17,08	21,75	0,04	17,13	0,04	4,82	9,08	20,11	0,03	8,90	16,78	15,77	14,99	
17:09:59-19.09.00	30,67	8,00	29,68	17,70	19,51	17,52	21,81	0,04	17,06	0,05	4,39	8,30	69,09	1,10	8,90	40,81	38,57	37,70	
17:19:59-19.09.00	29,85	11,90	29,72	19,49	23,21	19,64	21,77	0,05	16,99	0,09	5,80	9,34	82,21	1,60	8,90	57,61	54,68	52,00	
17:29:59-19.09.00	31,59	13,53	29,81	19,36	23,59	19,57	21,74	0,05	17,03	0,05	5,19	9,08	85,57	1,73	8,90	63,77	60,36	58,16	
06:33:28-20.09.00	64,27	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,01	0,02	0,24	1,04	0,02	0,00	0,00	0,09	0,09	0,09	
06:43:28-20.09.00	10,53	0,78	27,14	16,59	16,14	16,33	21,95	0,06	17,38	0,03	5,62	7,00	0,15	0,03	8,90	0,11	0,09	0,09	
06:53:28-20.09.00	8,61	0,68	27,15	14,28	13,58	14,30	22,00	0,02	17,32	0,05	5,68	9,34	0,16	0,02	8,90	0,09	0,09	0,11	
07:03:28-20.09.00	32,14	0,42	27,46	14,78	14,15	14,73	22,01	0,03	17,25	0,02	4,64	7,00	0,14	0,02	8,90	0,18	0,09	0,16	
07:13:28-20.09.00	10,07	0,78	27,25	15,28	14,71	15,15	22,02	0,03	17,26	0,02	5,37	6,48	0,18	0,01	8,90	0,18	0,09	0,09	
07:23:28-20.09.00	9,06	0,73	27,58	15,76	15,17	15,58	22,00	0,03	17,27	0,03	4,76	9,60	0,15	0,02	8,90	0,11	0,11	0,09	
07:33:28-20.09.00	11,35	0,39	27,91	16,12	15,76	16,00	22,02	0,03	17,25	0,05	4,52	10,38	0,18	0,02	8,90	0,09	0,09	0,09	
07:43:28-20.09.00	31,68	2,93	28,17	16,69	16,71	16,55	22,02	0,04	17,24	0,02	5,62	8,56	43,00	0,30	8,90	24,06	23,00	21,58	
07:53:28-20.09.00	31,77	4,83	28,45	17,94	18,62	17,74	21,95	0,04	17,24	0,07	4,70	32,68	55,19	0,63	8,90	29,30	27,72	26,73	
08:03:28-20.09.00	27,74	0,32	28,53	19,37	20,12	21,05	21,88	0,37	17,21	0,04	5,62	14,01	0,26	0,03	8,90	0,09	0,09	0,09	
08:13:28-20.09.00	28,75	6,46	28,85	18,76	19,95	18,86	21,83	0,05	17,20	0,08	5,37	168,61	64,79	0,94	8,90	36,94	34,19	33,05	
08:23:28-20.09.00	30,03	10,60	28,80	18,53	20,43	20,17	21,75	0,08	17,20	0,05	5,25	390,40	78,87	1,47	8,90	55,18	51,59	49,10	
08:33:28-20.09.00	30,12	11,29	28,93	19,64	22,98	20,30	21,77	0,05	17,17	0,07	5,55	10,38	79,80	1,50	8,90	59,42	55,30	49,55	
08:43:29-20.09.00	31,49	5,73	29,25	18,06	18,96	18,28	21,73	0,08	17,18	0,05	5,07	138,78	62,82	0,88	8,90	35,11	32,55	31,01	
08:53:29-20.09.00	31,22	8,31	29,38	18,80	19,98	19,14	21,72	0,05	17,22	0,08	5,00	200,52	71,61	1,19	8,90	45,52	42,55	40,44	
09:03:29-20.09.00	30,67	7,32	29,27	19,32	21,43	19,53	21,73	0,05	17,15	0,08	5,13	11,67	69,03	1,10	8,90	41,89	39,41	37,93	
09:13:29-20.09.00	32,41	7,27	29,61	19,10	21,20	19,11	21,72	0,05	17,19	0,06	4,64	8,30	69,24	1,09	8,90	42,23	39,30	38,13	
09:23:29-20.09.00	29,66	7,73	29,47	18,92	20,94	19,10	21,74	0,05	17,17	0,09	4,39	8,04	69,20	1,10	8,90	42,00	39,07	38,20	
09:33:29-20.09.00	29,94	7,53	29,56	19,52	21,72	19,55	21,70	0,04	17,17	0,04	4,76	11,41	69,24	1,09	8,90	42,21	39,28	38,29	
09:43:29-20.09.00	32,59	7,61	29,71	18,64	20,60	18,74	21,62	0,04	17,14	0,02	5,19	8,56	69,09	1,10	8,90	42,25	39,39	37,99	
09:53:29-20.09.00	31,31	7,90	29,55	19,26	21,65	19,49	21,69	0,03	17,19	0,04	4,88	7,26	69,06	1,09	8,90	42,05	39,44	38,15	
10:03:29-20.09.00	30,76	7,46	29,83	19,07	21,46	18,96	21,73	0,04	17,21	0,03	4,76	7,52	69,28	1,10	8,90	42,00	39,32	38,18	
10:13:29-20.09.00	30,67	7,65	29,80	18,33	19,37	18,90	21,73	0,05	17,09	0,05	6,16	227,75	68,78	1,08	8,90	41,47	38,96	37,90	
10:23:29-20.09.00	29,30	2,53	29,95	18,29	18,47	18,34	21,75	0,04	17,14	0,07	5,49	12,71	39,69	0,23	8,90	23,14	21,93	21,17	
10:33:29-20.09.00	30,76	4,17	30,13	18,85	19,41	18,82	21,71	0,03	17,13	0,04	5,19	6,23	49,78	0,47	8,90	25,79	24,15	23,37	
10:43:29-20.09.00	30,76	4,05	30,10	17,84	18,25	17,86	21,77	0,04	17,14	0,03	5,31	5,97	49,67	0,47	8,90	25,66	24,19	23,37	
